% Model:              Broken_Quarter_box.mph
% Version:            COMSOL 6.1.0.357
% Date:               Aug 30 2023, 15:09
% Dimension:          1
% Nodes:              97
% Expressions:        1
% Description:        Global
% freq (Hz)               \sigma_spherical, 
80                        0.005436290728471557
100                       0.00800854700259534
120                       0.01094546240937274
140                       0.014349952601401653
160                       0.018463016419482038
180                       0.023704805126929223
200                       0.030747144951456747
220                       0.04063253091097546
240                       0.054947355415393515
260                       0.07601303839818227
280                       0.10688682707279551
300                       0.15049738332264698
320                       0.20664039830558523
340                       0.26700741730751876
360                       0.31516175694397297
380                       0.33889080613543215
400                       0.3409129584500087
420                       0.3325214646215081
440                       0.3232130875822806
460                       0.3178859139332842
480                       0.3183716586259554
500                       0.325134899727007
520                       0.3381646991826278
540                       0.3572771288318002
560                       0.38211732373360585
580                       0.4120370951300629
600                       0.4459407238328412
620                       0.4821551996270908
640                       0.5184373897889186
660                       0.5523358900484433
680                       0.5819908608440557
700                       0.6069724840276179
720                       0.6284992101302211
740                       0.6488320275070528
760                       0.6702937095727834
780                       0.69448442636487
800                       0.7219433008664992
820                       0.7522123053339368
840                       0.7841667283229254
860                       0.8164824376255656
880                       0.8480990067762209
900                       0.8785066569988734
920                       0.9077224528541065
940                       0.9359612398523477
960                       0.9631587400248733
980                       0.9885765516818893
1000                      1.0107051707914367
1020                      1.0276001473521867
1040                      1.0376217263899032
1060                      1.0403005431369843
1080                      1.0368640167784593
1100                      1.030067460169568
1120                      1.0233834499787748
1140                      1.0199550715701635
1160                      1.021728111314885
1180                      1.028984462310293
1200                      1.0403831088976168
1220                      1.053563064712422
1240                      1.0661422980468356
1260                      1.0766178852465904
1280                      1.084690781883963
1300                      1.0909959805235254
1320                      1.0965782619743598
1340                      1.1024140007146763
1360                      1.1090879158943348
1380                      1.1166287138769
1400                      1.1244937191813167
1420                      1.1317024026807148
1440                      1.1371054331951675
1460                      1.1397263504616175
1480                      1.1390592917860578
1500                      1.1352076863861245
1520                      1.128827701500952
1540                      1.1209385834729175
1560                      1.112695448642154
1580                      1.1051766008481476
1600                      1.0991893164287387
1620                      1.0951062404645202
1640                      1.09278285015183
1660                      1.0916054347572492
1680                      1.090663953247979
1700                      1.0889858893440458
1720                      1.085749550005474
1740                      1.0804175054586715
1760                      1.0727722177789167
1780                      1.0628760045892784
1800                      1.0509985034077887
1820                      1.0375494226401203
1840                      1.0230327616290738
1860                      1.0080190825910522
1880                      0.9931252145787709
1900                      0.9789929363588102
1920                      0.9662613625838645
1940                      0.9555289613949391
1960                      0.947303942189919
1980                      0.941948845933524
2000                      0.9396324494138993
