% Model:              Broken_Quarter_box.mph
% Version:            COMSOL 6.1.0.357
% Date:               Aug 30 2023, 14:50
% Dimension:          1
% Nodes:              97
% Expressions:        1
% Description:        Global
% freq (Hz)               \sigma_spherical, 
80                        0.006389582977744313
100                       0.009896006350255856
120                       0.014099620735393526
140                       0.018955849343825094
160                       0.02441586069278505
180                       0.030428115340627847
200                       0.036939911340793184
220                       0.043898868606142505
240                       0.051254303977789205
260                       0.05895846215596608
280                       0.06696758139364363
300                       0.07524278581299963
320                       0.0837508075258737
340                       0.0924645509027491
360                       0.1013635181372225
380                       0.11043411974906148
400                       0.11966989610034666
420                       0.12907167671971678
440                       0.13864770363862672
460                       0.14841374343554584
480                       0.15839321061178277
500                       0.1686173225769404
520                       0.1791253041218307
540                       0.1899646569483989
560                       0.20119150768611052
580                       0.21287104586410305
600                       0.22507806147721265
620                       0.23789758996760696
640                       0.251425670458787
660                       0.2657702206572321
680                       0.2810520286048216
700                       0.2974058569073596
720                       0.31498164847903304
740                       0.33394581328082484
760                       0.3544825617237007
780                       0.37679523068085863
800                       0.401107520239436
820                       0.4276645206851145
840                       0.456733356420109
860                       0.4886032027175659
880                       0.523584338341298
900                       0.5620057784883422
920                       0.60421088638831
940                       0.6505501904475915
960                       0.7013704471531849
980                       0.7569988117184089
1000                      0.8177208537589536
1020                      0.8837511600938871
1040                      0.955195516601168
1060                      1.0320043134578618
1080                      1.113918058548814
1100                      1.2004078798571802
1120                      1.2906167042125367
1140                      1.3833102094976786
1160                      1.4768500124009265
1180                      1.5692036675761527
1200                      1.6580052538757768
1220                      1.740674989628296
1240                      1.8145958098447328
1260                      1.8773305479321876
1280                      1.9268491852801206
1300                      1.9617270368858517
1320                      1.9812763802856301
1340                      1.9855869668774042
1360                      1.975471305125561
1380                      1.9523314537755543
1400                      1.9179783311976448
1420                      1.874438638933449
1440                      1.823779242275924
1460                      1.7679681355688122
1480                      1.7087794716522422
1500                      1.647740820832082
1520                      1.5861151940413107
1540                      1.5249082085529397
1560                      1.4648910868584453
1580                      1.4066318219968375
1600                      1.3505289164276626
1620                      1.2968440520798676
1640                      1.245731619781763
1660                      1.197264168546278
1680                      1.15145357609808
1700                      1.108268178461595
1720                      1.067646317858085
1740                      1.0295068498099784
1760                      0.9937571485497609
1780                      0.9602991034039471
1800                      0.9290335327087544
1820                      0.8998633709296344
1840                      0.8726959171797084
1860                      0.847444373173966
1880                      0.8240288471966419
1900                      0.8023769578885301
1920                      0.782424136893627
1940                      0.7641137017019392
1960                      0.7473967484291295
1980                      0.7322318979046625
2000                      0.7185849165377914
