% Model:              Quarter_box.mph
% Version:            COMSOL 6.1.0.357
% Date:               Aug 30 2023, 14:36
% Dimension:          1
% Nodes:              97
% Expressions:        1
% Description:        Global
% freq (Hz)               \sigma_num, 
80                        0.008293528788711098
100                       0.012872528846009082
120                       0.01838823390630098
140                       0.02479629822265508
160                       0.03204782746139192
180                       0.0400908459511505
200                       0.048871800603580644
220                       0.05833704935004307
240                       0.06843428909281238
260                       0.07911388720461464
280                       0.09033009062845163
300                       0.1020420967923501
320                       0.11421498015607762
340                       0.12682047671975805
360                       0.13983763590569429
380                       0.1532533547093255
400                       0.16706281288336416
420                       0.18126983025976556
440                       0.19588716828175848
460                       0.21093679759270495
480                       0.22645015227993845
500                       0.24246838922885136
520                       0.25904266806713844
540                       0.27623446334404717
560                       0.29411591575607576
580                       0.3127702231256598
600                       0.3322920640294792
620                       0.35278803683132387
640                       0.37437708354531524
660                       0.3971908503128239
680                       0.4213739128917993
700                       0.44708376467990446
720                       0.4744904243831724
740                       0.5037754682973606
760                       0.5351302262250116
780                       0.5687527989841275
800                       0.6048434597769654
820                       0.643597895524501
840                       0.685197638253581
860                       0.7297969519373674
880                       0.7775054139275963
900                       0.8283655211608502
920                       0.8823249446620354
940                       0.9392036608627199
960                       0.9986572229796923
980                       1.0601389865558424
1000                      1.1228661495005665
1020                      1.1857967703520087
1040                      1.2476269163838745
1060                      1.3068178104259531
1080                      1.3616610970609806
1100                      1.4103851490586983
1120                      1.4512966373790845
1140                      1.4829409950760617
1160                      1.5042562694523969
1180                      1.5146912564772337
1200                      1.5142635337930994
1220                      1.503545620826575
1240                      1.483583967142006
1260                      1.45576995195713
1280                      1.4216898169180907
1300                      1.3829799498593702
1320                      1.3412070651482448
1340                      1.2977832426704758
1360                      1.2539169397650634
1380                      1.2105949926486308
1400                      1.1685877041881978
1420                      1.128468747364326
1440                      1.09064279070426
1460                      1.0553755581999391
1480                      1.0228228514264734
1500                      0.9930565671375854
1520                      0.9660868409927502
1540                      0.9418801642096558
1560                      0.9203737345152259
1580                      0.9014865042078262
1600                      0.88512745257947
1620                      0.871201594646677
1640                      0.8596141822817956
1660                      0.8502734821574666
1680                      0.843092441794324
1700                      0.8379894879671616
1720                      0.8348886440878207
1740                      0.833719105856278
1760                      0.8344143771402388
1780                      0.8369110398841025
1800                      0.8411472119325668
1820                      0.8470607341543182
1840                      0.8545871225168791
1860                      0.8636573213124906
1880                      0.8741953001906919
1900                      0.886115549633947
1920                      0.8993205464902524
1940                      0.9136982823088617
1960                      0.9291199711787045
1980                      0.9454380785597272
2000                      0.9624848354797099
