% Model:              Half_Quarter_box.mph
% Version:            COMSOL 6.1.0.357
% Date:               Aug 30 2023, 14:42
% Dimension:          1
% Nodes:              97
% Expressions:        1
% Description:        Global
% freq (Hz)               \sigma_spherical, 
80                        0.013682458265889211
100                       0.02110009080715388
120                       0.029908696034606847
140                       0.0399721354488442
160                       0.05114414169061457
180                       0.06327360692737836
200                       0.07620950245145955
220                       0.08980520748837817
240                       0.10392210497150256
260                       0.11843237940638654
280                       0.13322101902360012
300                       0.14818707655130087
320                       0.1632442785397881
340                       0.17832109306509325
360                       0.19336037222129326
380                       0.20831868223470398
400                       0.22316542355516422
420                       0.23788182882895034
440                       0.2524599105959716
460                       0.2669014146078135
480                       0.2812168199606816
500                       0.2954244144034747
520                       0.3095494624596909
540                       0.3236234753684114
560                       0.33768358511121815
580                       0.3517720196649454
600                       0.3659356727856132
620                       0.3802257587644223
640                       0.39469754040465227
660                       0.4094101166802449
680                       0.4244262549194446
700                       0.43981225071504315
720                       0.45563779693036044
740                       0.4719758410199908
760                       0.48890240731838425
780                       0.5064963579108656
800                       0.5248390621824727
820                       0.544013941191133
840                       0.5641058487713095
860                       0.5852002469887506
880                       0.60738212963203
900                       0.6307346444201699
920                       0.6553373633375841
940                       0.6812641520453921
960                       0.708580595016361
980                       0.7373409445108556
1000                      0.7675845805602038
1020                      0.7993319975770219
1040                      0.832580372640733
1060                      0.8672988217925579
1080                      0.9034235134427482
1100                      0.9408528799177124
1120                      0.9794432442715288
1140                      1.0190052515691872
1160                      1.0593015503964747
1180                      1.1000461971050923
1200                      1.1409062368982759
1220                      1.1815058385858281
1240                      1.2214332153736014
1260                      1.260250353532006
1280                      1.297505308086417
1300                      1.3327465375508796
1320                      1.365538477620333
1340                      1.3954773417351138
1360                      1.4222060261796665
1380                      1.4454270170141905
1400                      1.4649123521935061
1420                      1.480509966271022
1440                      1.4921460966207274
1460                      1.4998238051898107
1480                      1.50361801287591
1500                      1.50366770917602
1520                      1.5001661603997818
1540                      1.4933499891400055
1560                      1.4834879482400416
1580                      1.4708700893718711
1600                      1.4557978601894657
1620                      1.438575484362236
1640                      1.419502809395913
1660                      1.398869663886382
1680                      1.3769516566380788
1700                      1.354007276214993
1720                      1.3302761076621075
1740                      1.305977967431708
1760                      1.2813127611538095
1780                      1.2564608852569845
1800                      1.2315840169931045
1820                      1.2068261638145945
1840                      1.182314869229745
1860                      1.158162496267284
1880                      1.1344675304522798
1900                      1.1113158613278744
1920                      1.0887820150853493
1940                      1.0669303211015335
1960                      1.0458160025716596
1980                      1.0254861864686446
2000                      1.005980831239055
