% Model:              Soherical_box.mph
% Version:            COMSOL 6.1.0.357
% Date:               Aug 30 2023, 15:10
% Dimension:          1
% Nodes:              97
% Expressions:        1
% Description:        Global
% freq (Hz)               \sigma_spherical, 
80                        0.010540922444721764
100                       0.016437323700684334
120                       0.023612018726897444
140                       0.03204594904523009
160                       0.041716722197379624
180                       0.05259866699740191
200                       0.06466288814706474
220                       0.07787731724382077
240                       0.09220675912220812
260                       0.10761293575591553
280                       0.12405453437604785
300                       0.14148727142928033
320                       0.15986398857028924
340                       0.1791347998970548
360                       0.19924730990191455
380                       0.22014691813857423
400                       0.24177721886769662
420                       0.26408049209395723
440                       0.2869982674113155
460                       0.31047192570823046
480                       0.3344432884813477
500                       0.35885513303110217
520                       0.3836515668424495
540                       0.40877819810901667
560                       0.4341820527910836
580                       0.4598112117054839
600                       0.4856141724726015
620                       0.5115389779565583
640                       0.5375321913411026
660                       0.5635378336575528
680                       0.5894964275209561
700                       0.6153443061639227
720                       0.6410133452173308
740                       0.666431252800937
760                       0.6915225099064941
780                       0.7162099889553005
800                       0.7404171982794956
820                       0.7640710122152796
840                       0.7871046618103371
860                       0.8094606930112429
880                       0.8310935604444152
900                       0.8519715253409579
920                       0.8720775700777251
940                       0.8914091265312074
960                       0.9099765314403223
980                       0.9278002546866186
1000                      0.9449070792988394
1020                      0.9613255297967277
1040                      0.9770809368091655
1060                      0.9921905841212683
1080                      1.006659407052003
1100                      1.0204766983366944
1120                      1.0336142297741593
1140                      1.0460261139872118
1160                      1.0576506090345619
1180                      1.0684139086578501
1200                      1.0782357666528721
1220                      1.0870365875269645
1240                      1.0947454004546715
1260                      1.101307952611065
1280                      1.1066940492508113
1300                      1.1109032648102295
1320                      1.1139682700748292
1340                      1.1159552592844069
1360                      1.1169612858154534
1380                      1.117108673153699
1400                      1.1165369991604792
1420                      1.1153934044400489
1440                      1.1138221194488132
1460                      1.1119541360781693
1480                      1.1098978872911696
1500                      1.1077316754992788
1520                      1.105498439785421
1540                      1.103203296205763
1560                      1.1008141305659878
1580                      1.0982653598206675
1600                      1.0954647879828487
1620                      1.0923032481422263
1640                      1.0886664408738298
1660                      1.0844480722275418
1680                      1.0795631107837782
1700                      1.0739597931199036
1720                      1.0676289832947912
1740                      1.0606096839970618
1760                      1.0529899063171506
1780                      1.0449026739716472
1800                      1.0365175592182625
1820                      1.0280286954900788
1840                      1.0196405800675632
1860                      1.0115531155916293
1880                      1.0039472533382954
1900                      0.9969723587106472
1920                      0.9907361107184036
1940                      0.9852974565477747
1960                      0.9806629235750336
1980                      0.9767864568319234
2000                      0.9735728731467926
