% Model:              Soherical_box.mph
% Version:            COMSOL 6.1.0.357
% Date:               Aug 30 2023, 14:53
% Dimension:          1
% Nodes:              97
% Expressions:        1
% Description:        Global
% freq (Hz)               \sigma_spherical, 
80                        0.010486823224620986
100                       0.016353834676847652
120                       0.023493624853980797
140                       0.03188774542371452
160                       0.041514531853723204
180                       0.05234917160873049
200                       0.06436378220994632
220                       0.07752749889147101
240                       0.09180657155568164
260                       0.10716447069830201
280                       0.12356200194344795
300                       0.1409574287999479
320                       0.1593066032227222
340                       0.1785631035366087
360                       0.19867837925561457
380                       0.2196019023076055
400                       0.24128132415301257
420                       0.2636626382668928
440                       0.2866903474359491
460                       0.31030763530669647
480                       0.33445654160672106
500                       0.35907814044998904
520                       0.38411272112695494
540                       0.4094999707728306
560                       0.43517915830210835
580                       0.4610893189935894
600                       0.4871694391093939
620                       0.5133586399321105
640                       0.5395963606069007
660                       0.5658225391811036
680                       0.591977791240147
700                       0.6180035855485779
720                       0.6438424161153038
740                       0.6694379701159613
760                       0.694735291119847
780                       0.7196809370857349
800                       0.7442231326096374
820                       0.7683119149278083
840                       0.7918992732001345
860                       0.8149392806226344
880                       0.837388218942877
900                       0.8592046949782755
920                       0.8803497487649454
940                       0.9007869529939859
960                       0.9204825034214813
980                       0.9394052999701633
1000                      0.9575270182721377
1020                      0.9748221714348909
1040                      0.9912681618467628
1060                      1.0068453228713528
1080                      1.0215369503156189
1100                      1.035329323591119
1120                      1.0482117165232416
1140                      1.0601763977988348
1160                      1.07121862107828
1180                      1.0813366048337079
1200                      1.090531502010674
1220                      1.0988073596459202
1240                      1.1061710686090818
1260                      1.1126323036708097
1280                      1.1182034541340633
1300                      1.1228995452991812
1320                      1.1267381510661216
1340                      1.1297392980097931
1360                      1.1319253612957387
1380                      1.1333209528340091
1400                      1.1339528020984735
1420                      1.1338496300673566
1440                      1.1330420167676893
1460                      1.1315622629327045
1480                      1.1294442463049146
1500                      1.1267232731412835
1520                      1.123435925497671
1540                      1.1196199048896904
1560                      1.1153138729444376
1580                      1.1105572896738634
1600                      1.105390250013897
1620                      1.099853319284943
1640                      1.0939873682390582
1660                      1.087833408365201
1680                      1.081432428128946
1700                      1.0748252308239954
1720                      1.0680522747118852
1740                      1.061153516122051
1760                      1.054168256177364
1780                      1.047134991799577
1800                      1.0400912716360735
1820                      1.0330735575319032
1840                      1.026117092151497
1860                      1.0192557733300822
1880                      1.0125220357084825
1900                      1.0059467401738829
1920                      0.9995590715954827
1940                      0.993386445306537
1960                      0.9874544227438428
1980                      0.9817866366117537
2000                      0.9764047258914085
